"p","U:0","U:1","U:2","cellID","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.2310270369,0.1438934803,2.822607517,-2.893327129e-21,4241,1,15.30637455,24.16500092,-21.32295418,0
-0.262929529,0.147761777,2.828301668,3.723881492e-21,6440,1,15.37532234,24.17250061,-21.25441551,0
-0.2975736558,0.1487210244,2.812184334,6.167300724e-21,6440,1,15.44427013,24.18000031,-21.18587685,0
-0.3320853114,0.149971202,2.79681015,7.99952234e-21,6440,1,15.51321793,24.1875,-21.11733818,0
-0.3664646149,0.1515120715,2.78217864,9.221016881e-21,6440,1,15.58216572,24.19499969,-21.04879951,0
-0.4007107317,0.1533431858,2.768287897,9.832161182e-21,6440,1,15.6511116,24.20249939,-20.98026276,0
-0.4438118041,0.1589279473,2.795087814,1.564887283e-21,1119,1,15.72005939,24.20999908,-20.91172409,0
-0.5189771056,0.1770011038,2.964932919,-3.649228441e-20,1119,1,15.78900719,24.21750069,-20.84318542,0
-0.572870791,0.1735338122,2.963454247,-2.877815958e-20,1119,1,15.85795498,24.22500038,-20.77464676,0
-0.5985379815,0.1477427483,2.754106522,1.61885579e-20,1119,1,15.92690277,24.23250008,-20.70610809,0
-0.5886599422,0.1815657467,2.9579072,5.493366548e-20,3319,1,15.99585056,24.23999977,-20.63756943,0
-0.5920209885,0.1840592772,2.987270594,1.073108646e-19,8799,1,16.06479836,24.24749947,-20.56903076,0
-0.6010127664,0.1863172352,3.036812067,1.485764368e-19,8799,1,16.1337471,24.25499916,-20.5004921,0
-0.5806739926,0.2288728207,2.97521615,1.063329498e-19,8799,1,16.20269394,24.26250076,-20.43195343,0
-0.5643556714,0.2640328705,2.927297831,6.477500158e-20,1118,1,16.27164268,24.27000046,-20.36341476,0
-0.5521502495,0.2758009732,2.884055614,3.008074609e-20,5538,1,16.34058952,24.27750015,-20.2948761,0
-0.5334749818,0.287207514,2.820030212,4.858020428e-21,5538,1,16.40953827,24.28499985,-20.22633743,0
-0.5176283717,0.3029664755,2.796310186,-1.32997637e-20,5538,1,16.4784832,24.29249954,-20.15780067,0
-0.5046182275,0.3230924904,2.813021898,-2.437152935e-20,5538,1,16.54743195,24.29999924,-20.08926201,0
-0.4958570302,0.3427556157,2.840797901,-2.837142259e-20,3338,1,16.61637878,24.30750084,-20.02072334,0
